id,scope0_id,scope1_id,scope2_id,scope3_id,class_id,kind_id,direction_id,case_id,status_id,value,"value_s","format","value_type","value_attrib0","value_attrib1","unit","description","source","expression","notation","lastmoddate"
0,1,0,0,0,1,1,0,0,1,0,"-0.0548755604162154, -0.8734370902348850, -0.4838350155487132, +0.4941094278755837, -0.4448296299600112, +0.7469822444972189, -0.8676661490190047, -0.1980763734312015, +0.4559837761750669","%s","E9","basic","scalar","","Transformation matrix which transforms the unit-direction vector r_equ, expressed in equatorial coordinates (ICRS), into the unit-direction vector r_gal in Galactic coordinates: r_gal = A_G^T times r_equ (see ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, Equation 1.5.13; A_G^T denotes the transpose of matrix A_G)","ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, transpose of Equation 1.5.11 (transpose of matrix A_G)","","A_G^T","2007-02-07 13:00:00"
1,1,0,0,0,1,2,0,0,1,0,"-0.0548755604162154, +0.4941094278755837, -0.8676661490190047, -0.8734370902348850, -0.4448296299600112, -0.1980763734312015, -0.4838350155487132, +0.7469822444972189, +0.4559837761750669","%s","E9","basic","scalar","","Transformation matrix which transforms the unit-direction vector r_gal, expressed in Galactic coordinates, into the unit-direction vector r_equ in equatorial coordinates (ICRS): r_equ = A_G times r_gal (see ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, inverse of Equation 1.5.13)","ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, Equation 1.5.11 (matrix A_G)","","A_G","2007-02-07 13:00:00"
2,1,0,0,0,1,3,0,0,1,0,"+0.9999999999999639, -0.0000002686837421, +0.0000000000000000, +0.0000002465125329, +0.9174821334228226, +0.3977769913530006, -0.0000001068762105, -0.3977769913529863, +0.9174821334228557","%s","E9","basic","scalar","","Transformation matrix which transforms the unit-direction vector r_equ, expressed in equatorial coordinates (ICRS), into the unit-direction vector r_ecl in ecliptic coordinates: r_ecl = A_K^T times r_equ (see also ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, Equation 1.5.12; A_K^T denotes the transpose of matrix A_K). Note that the ICRS origin is shifted in the equatorial plane from \\Gamma by \\phi = 0.05542 arcsec, positive from \\Gamma to the ICRS origin (see J. Chapront, M. Chapront-Touze, G. Francou, 2002, 'A new determination of lunar orbital parameters, precession constant, and tidal acceleration from LLR measurements', A&A, 387, 700)","ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, transpose of Equation 1.5.7 (transpose of generalised matrix A_K)","","A_K^T = R_1^T(-\\epsilon_0) R_3^T(\\phi) = R_1(\\epsilon_0) R_3(-\\phi)","2007-02-07 13:00:00"
3,1,0,0,0,1,4,0,0,1,0,"+0.9999999999999639, +0.0000002465125329, -0.0000001068762105, -0.0000002686837421, +0.9174821334228226, -0.3977769913529863, +0.0000000000000000, +0.3977769913530006, +0.9174821334228557","%s","E9","basic","scalar","","Transformation matrix which transforms the unit-direction vector r_ecl, expressed in ecliptic coordinates, into the unit-direction vector r_equ in equatorial coordinates (ICRS): r_equ = A_K times r_ecl (see also ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, inverse of Equation 1.5.12). Note that the ICRS origin is shifted in the equatorial plane from \\Gamma by \\phi = 0.05542 arcsec, positive from \\Gamma to the ICRS origin (see J. Chapront, M. Chapront-Touze, G. Francou, 2002, 'A new determination of lunar orbital parameters, precession constant, and tidal acceleration from LLR measurements', A&A, 387, 700)","ESA, 1997, 'The Hipparcos and Tycho Catalogues', ESA SP-1200, Volume 1, Section 1.5.3, Equation 1.5.7 (generalised matrix A_K)","","A_K = R_3(\\phi) R_1(-\\epsilon_0)","2007-02-07 13:00:00"
4,1,0,0,0,2,5,0,0,1,0,"%SELF%_001.fits","%s","T","basic","multi","","Standard Gaia Galaxy model, providing predictions of object densities in the three Gaia-2-relevant photometric bands G, GS, and G_RVS (= C1M861 = RVF) as a function of limiting magnitude for any point on the celestial sphere. Object densities are defined on a Hierarchical Triangular Mesh (http://taltos.pha.jhu.edu/htm) of level 6 comprised of almost-equal-area cells of approximately 1 square degree in size. The model is a synthesis of count predictions from two distinct sources: (i) the Bescancon Galaxy model (http://bison.obs-besancon.fr/modele), in conjunction with the extinction law of R. Drimmel, for stars; and (ii) the GSC-II catalogue (http://www-gsss.stsci.edu/gsc/gsc2/GSC2home.htm) for stars and galaxies. The combined result can be summarised as follows: (a) Bright stars: 4 <= G <= 12.5: GSC-II (Tycho-2 catalogue included); 4 <= GS <= 12.5: GSC-II (Tycho-2 catalogue included); 4 <= G_RVS <= 12.5: GSC-II (Tycho-2 catalogue included); (b) Faint stars: 12.5 <= G <= 21: Bescancon; 12.5 <= GS <= 21: Bescancon; 12.5 <= G_RVS <= 18: Bescancon; (c) Stars in special regions (LMC/SMC): counts for full range of magnitudes, for circle with radius 10 deg (LMC) and 7 deg (SMC), taken from the GSC-II catalogue; (d) galaxies: G <= 21: GSC-II; GS <= 21: GSC-II; G_RVS <= 18: GSC-II. The following Bintables are defined: (1) STAR-G-MAGGRID: magnitude grid for column COUNTS in following extension STAR-G-COUNTS; (2) STAR-G-COUNTS: table with star magnitude counts in column COUNTS per HTM cell in the G band; each row corresponds to one cell. Table columns are: HTMID: unique HTM cell designator; AREA: area of cell [square deg]; ALPHA: right ascension of cell centre [h]; DELTA: declination of cell centre [deg]; LGAL: Galactic longitude of cell centre [deg]; BGAL: Galactic latitude of cell centre [deg]; COUNTS: non-cumulative number of objects per square degree in cell in 0.5 magnitude-bin interval, i.e., COUNTS[i] is the number of stars per square degree in the magnitude interval [STAR-G-MAGGRID[i], STAR-G-MAGGRID[i]+0.5]; (3) GAL-G-MAGGRID: same as STAR-G-MAGGRID, but for galaxies; (4) GAL-G-COUNTS: same as STAR-G-COUNTS, but for galaxies; (5) STAR-GS-MAGGRID: same as STAR-G-MAGGRID, but in GS band; (6) STAR-GS-COUNTS: same as STAR-G-COUNTS, but in GS band; (7) GAL-GS-MAGGRID: same as STAR-GS-MAGGRID, but for galaxies; (8) GAL-GS-COUNTS: same as STAR-GS-COUNTS, but for galaxies; (9) STAR-C1M861-MAGGRID: same as STAR-G-MAGGRID, but in G_RVS band; (10) STAR-C1M861-COUNTS: same as STAR-G-COUNTS, but in G_RVS band; (11) GAL-C1M861-MAGGRID: same as STAR-C1M861-MAGGRID, but for galaxies; and (12) GAL-C1M861-COUNTS: same as STAR-C1M861-COUNTS, but for galaxies","The data used to produce the standard Gaia Galaxy model have been provided by the teams of the Observatoire de Besancon (A. Robin, C. Reyle, et al.) and the Observatorio Astronomico di Torino (R. Drimmel, et al.); the harmonisation has been provided by the SWG (X. Luri). See U. Lammers, 22 April 2005, 'Gaia Standard Galaxy Model Access Software (GSGMAS); User Guide', GAIA-UL-010, Rev. 1.0. See also R. Drimmel, et al., 19 July 2005, 'Recommendations on the use of estimated star counts for Gaia studies', SWG-RD-004","","","2006-03-01 09:00:00"
5,1,0,0,0,3,6,0,0,1,0,"%SELF%_004.fits","%s","T","basic","multi","","Chebyshev representation of the ephemerides of the Sun, with origin at the barycentre of the solar system (BCRS), in the equatorial ICRF frame. The ephemeris covers the period starting on JD (JDBEGIP + JDBEGFP) and ending on JD (JDENDIP + JDENDFP) for the position and starting on JD (JDBEGIV + JDBEGFV) and ending on JD (JDENDIV + JDENDFV) for the velocity. A number of Chebyshev coefficients equal to ORDERSP is given for NSSP time intervals of SPANSP days to describe the position-vector components in units of m; the similar parameters ending with PP (Peculiar Position) are not used in the current release and are reserved for future usage. A number of Chebyshev coefficients equal to ORDERSV is given for NSSV time intervals of SPANSV days to describe the velocity-vector components in units of m s^-1; the similar parameters ending with PV (Peculiar Velocity) are not used in the current release and are reserved for future usage. The first three HDUs contain the coefficients for the three components of the position, while the last three HDUs contain the coefficients for the three components of the velocity","A. Fienga, J. Laskar, H. Manche, M. Gastineau, 19 April 2007, 'Solar system planetary ephemeris delivery: INPOP06', GAIA-CA-TN-IMC-AF-001-01 (see also http://www.imcce.fr/Equipes/ASD/inpop/inpop06_preprint.pdf)","","","2007-04-23 11:00:00"
6,1,0,0,0,4,6,0,0,1,0,"%SELF%_004.fits","%s","T","basic","multi","","Chebyshev representation of the ephemerides of Venus, with origin at the barycentre of the solar system (BCRS), in the equatorial ICRF frame. The ephemeris covers the period starting on JD (JDBEGIP + JDBEGFP) and ending on JD (JDENDIP + JDENDFP) for the position and starting on JD (JDBEGIV + JDBEGFV) and ending on JD (JDENDIV + JDENDFV) for the velocity. A number of Chebyshev coefficients equal to ORDERSP is given for NSSP time intervals of SPANSP days to describe the position-vector components in units of m; the similar parameters ending with PP (Peculiar Position) are not used in the current release and are reserved for future usage. A number of Chebyshev coefficients equal to ORDERSV is given for NSSV time intervals of SPANSV days to describe the velocity-vector components in units of m s^-1; the similar parameters ending with PV (Peculiar Velocity) are not used in the current release and are reserved for future usage. The first three HDUs contain the coefficients for the three components of the position, while the last three HDUs contain the coefficients for the three components of the velocity","A. Fienga, J. Laskar, H. Manche, M. Gastineau, 19 April 2007, 'Solar system planetary ephemeris delivery: INPOP06', GAIA-CA-TN-IMC-AF-001-01 (see also http://www.imcce.fr/Equipes/ASD/inpop/inpop06_preprint.pdf)","","","2007-04-23 11:00:00"
7,1,0,0,0,5,6,0,0,1,0,"%SELF%_004.fits","%s","T","basic","multi","","Chebyshev representation of the ephemerides of the Earth, with origin at the barycentre of the solar system (BCRS), in the equatorial ICRF frame. The ephemeris covers the period starting on JD (JDBEGIP + JDBEGFP) and ending on JD (JDENDIP + JDENDFP) for the position and starting on JD (JDBEGIV + JDBEGFV) and ending on JD (JDENDIV + JDENDFV) for the velocity. A number of Chebyshev coefficients equal to ORDERSP is given for NSSP time intervals of SPANSP days to describe the position-vector components in units of m; the similar parameters ending with PP (Peculiar Position) are not used in the current release and are reserved for future usage. A number of Chebyshev coefficients equal to ORDERSV is given for NSSV time intervals of SPANSV days to describe the velocity-vector components in units of m s^-1; the similar parameters ending with PV (Peculiar Velocity) are not used in the current release and are reserved for future usage. The first three HDUs contain the coefficients for the three components of the position, while the last three HDUs contain the coefficients for the three components of the velocity","A. Fienga, J. Laskar, H. Manche, M. Gastineau, 19 April 2007, 'Solar system planetary ephemeris delivery: INPOP06', GAIA-CA-TN-IMC-AF-001-01 (see also http://www.imcce.fr/Equipes/ASD/inpop/inpop06_preprint.pdf)","","","2007-04-23 11:00:00"
8,1,0,0,0,6,6,0,0,1,0,"%SELF%_004.fits","%s","T","basic","multi","","Chebyshev representation of the ephemerides of Mars, with origin at the barycentre of the solar system (BCRS), in the equatorial ICRF frame. The ephemeris covers the period starting on JD (JDBEGIP + JDBEGFP) and ending on JD (JDENDIP + JDENDFP) for the position and starting on JD (JDBEGIV + JDBEGFV) and ending on JD (JDENDIV + JDENDFV) for the velocity. A number of Chebyshev coefficients equal to ORDERSP is given for NSSP time intervals of SPANSP days to describe the position-vector components in units of m; the similar parameters ending with PP (Peculiar Position) are not used in the current release and are reserved for future usage. A number of Chebyshev coefficients equal to ORDERSV is given for NSSV time intervals of SPANSV days to describe the velocity-vector components in units of m s^-1; the similar parameters ending with PV (Peculiar Velocity) are not used in the current release and are reserved for future usage. The first three HDUs contain the coefficients for the three components of the position, while the last three HDUs contain the coefficients for the three components of the velocity","A. Fienga, J. Laskar, H. Manche, M. Gastineau, 19 April 2007, 'Solar system planetary ephemeris delivery: INPOP06', GAIA-CA-TN-IMC-AF-001-01 (see also http://www.imcce.fr/Equipes/ASD/inpop/inpop06_preprint.pdf)","","","2007-04-23 11:00:00"
9,1,0,0,0,7,6,0,0,1,0,"%SELF%_001.fits","%s","T","basic","multi","","Chebyshev representation of the ephemerides of Mercury, with origin at the barycentre of the solar system (BCRS), in the equatorial ICRF frame. The ephemeris covers the period starting on JD (JDBEGIP + JDBEGFP) and ending on JD (JDENDIP + JDENDFP) for the position and starting on JD (JDBEGIV + JDBEGFV) and ending on JD (JDENDIV + JDENDFV) for the velocity. A number of Chebyshev coefficients equal to ORDERSP is given for NSSP time intervals of SPANSP days to describe the position-vector components in units of m; the similar parameters ending with PP (Peculiar Position) are not used in the current release and are reserved for future usage. A number of Chebyshev coefficients equal to ORDERSV is given for NSSV time intervals of SPANSV days to describe the velocity-vector components in units of m s^-1; the similar parameters ending with PV (Peculiar Velocity) are not used in the current release and are reserved for future usage. The first three HDUs contain the coefficients for the three components of the position, while the last three HDUs contain the coefficients for the three components of the velocity","A. Fienga, J. Laskar, H. Manche, M. Gastineau, 19 April 2007, 'Solar system planetary ephemeris delivery: INPOP06', GAIA-CA-TN-IMC-AF-001-01 (see also http://www.imcce.fr/Equipes/ASD/inpop/inpop06_preprint.pdf)","","","2007-04-23 11:00:00"
